Houston Association of REALTORS,,,,,,MLS Summary Report,,,,,
Produced by: Real Estate Center at Texas A&M University,,,,,,,,1,,,
Data: Houston Association of REALTORS/Data Relevance Project,,,,,,,,,,,
9/6/2023,,,,,,,,,,,
Houston Association of REALTORS,,,,,,,MLS Summary Report,,,,
,,,,,,,,,Aug-23,,
Current Month: August 2023,,,,,,,,,,,
,Price/,% Change,,% Change,Pending,% Change,New,% Change,Active,%Change,
Property Type,Sqft*,Year Ago,DOM,Year Ago,Listings,Year Ago,Listings,Year Ago,Listings,Year Ago,
All (New and Existing),,,,,,,,,,,
Single Family,$178 ,2%,42,31%,"7,842",2%,"12,455",2%,"23,476",10%,
Townhouse/Condominium,$174 ,3%,36,16%,601,-4%,"1,009",1%,"1,702",24%,
Multifamily,$187 ,3%,61,79%,78,10%,201,27%,461,31%,
Country Homes,$500 ,15%,90,15%,249,10%,633,20%,"2,967",21%,
High Rise,$319 ,2%,56,24%,69,10%,186,40%,427,15%,
Lots,-,0%,103,23%,925,25%,"2,012",15%,"9,406",23%,
Rentals - Single Family,$120 ,3%,28,22%,"3,846",11%,"5,529",8%,"5,836",22%,
Rentals - TH/Condo,$134 ,2%,33,18%,681,-1%,"1,045",15%,"1,334",38%,
Rentals - Multifamily,$133 ,3%,43,16%,399,5%,918,60%,"1,747",103%,
Rentals - High Rise,$208 ,-3%,38,-19%,90,7%,425,-41%,877,-17%,
Existing Home,,,,,,,,,,,
Single Family,$176 ,2%,34,42%,"5,677",-7%,"9,284",-2%,"15,740",13%,
Townhouse/Condominium,$171 ,3%,34,21%,540,-8%,886,-3%,"1,425",26%,
Multifamily,$190 ,2%,67,72%,64,0%,175,32%,415,33%,
Country Homes,$502 ,13%,89,13%,246,10%,625,19%,"2,943",21%,
High Rise,$308 ,4%,55,67%,67,12%,147,23%,344,12%,
Rentals - Single Family,$120 ,3%,27,23%,"3,521",10%,"5,097",10%,"5,291",26%,
Rentals - TH/Condo,$134 ,2%,33,18%,656,-3%,999,15%,"1,281",40%,
Rentals - Multifamily,$131 ,4%,43,26%,366,4%,795,53%,"1,350",82%,
Rentals - High Rise,$209 ,-2%,38,-10%,87,13%,372,-45%,851,-1%,
New Construction,,,,,,,,,,,
Single Family,$184 ,-2%,70,13%,"2,165",37%,"3,171",15%,"7,736",6%,
Townhouse/Condominium,$203 ,6%,67,-6%,61,53%,123,32%,277,16%,
Multifamily,$181 ,5%,43,169%,14,100%,26,4%,46,21%,
Country Homes,$261 ,10%,140,175%,3,0%,8,100%,24,71%,
High Rise,$671 ,71%,73,-37%,2,-33%,39,200%,83,26%,
Rentals - Single Family,$128 ,2%,45,61%,325,26%,432,-10%,545,-6%,
Rentals - TH/Condo,$126 ,-12%,14,-46%,25,47%,46,10%,53,0%,
Rentals - Multifamily,$150 ,-8%,48,-33%,33,22%,123,132%,397,242%,
Rentals - High Rise,$169 ,-33%,47,-54%,3,-57%,53,8%,26,-87%,
* Rental Price/Sqft is shown as price/100 Sqft.,,,,,,,,,,,
Produced by: Real Estate Center at Texas A&M University,,,,,,,,,,2,
Data: Houston Association of REALTORS/Data Relevance Project,,,,,,,,,,,
9/6/2023,,,,,,,,,,,
Houston Association of REALTORS,,,,,,MLS Summary Report,,,,,
,,,,,,,Aug-23,,,,
Year-to-Date as of August 2023,,,,,,,,,,,
,Closed,% Change,,% Change,Average,% Change,Median,% Change,,,
Property Type,Listings*,Year Ago,Dollar Volume,Year Ago,Price,Year Ago,Price,Year Ago,,,
All (New and Existing),,,,,,,,,,,
Single Family,"58,402",-15%,"$24,216,641,194 ",-15%,"$414,654 ",0%,"$332,763 ",-2%,,,
Townhouse/Condominium,"4,286",-26%,"$1,112,351,193 ",-27%,"$259,531 ",-1%,"$220,000 ",-1%,,,
Multifamily,479,-22%,"$218,065,286 ",-23%,"$455,251 ",-1%,"$380,000 ",3%,,,
Country Homes,"1,770",-26%,"$1,096,694,568 ",-27%,"$619,601 ",-2%,"$350,000 ",-4%,,,
High Rise,542,-16%,"$271,338,802 ",-14%,"$500,625 ",3%,"$340,000 ",10%,,,
Lots,"5,699",-20%,"$915,240,536 ",-15%,"$160,597 ",7%,"$84,000 ",0%,,,
Rentals - Single Family,"30,294",15%,"$68,419,523 ",18%,"$2,259 ",3%,"$2,085 ",4%,,,
Rentals - TH/Condo,"5,122",5%,"$10,020,907 ",10%,"$1,956 ",4%,"$1,800 ",6%,,,
Rentals - Multifamily,"3,210",37%,"$4,344,830 ",44%,"$1,354 ",5%,"$1,295 ",8%,,,
Rentals - High Rise,732,9%,"$1,675,558 ",-1%,"$2,289 ",-9%,"$1,884 ",-4%,,,
Existing Home,,,,,,,,,,,
Single Family,"42,685",-22%,"$17,677,882,051 ",-22%,"$414,147 ",-1%,"$325,000 ",-2%,,,
Townhouse/Condominium,"3,922",-27%,"$977,430,154 ",-29%,"$249,217 ",-2%,"$206,000 ",-4%,,,
Multifamily,345,-31%,"$158,998,246 ",-32%,"$460,864 ",-2%,"$350,000 ",-1%,,,
Country Homes,"1,751",-26%,"$1,082,382,489 ",-27%,"$618,151 ",-2%,"$349,000 ",-4%,,,
High Rise,526,-14%,"$252,102,533 ",-6%,"$479,282 ",10%,"$330,000 ",10%,,,
Rentals - Single Family,"27,570",16%,"$62,292,604 ",20%,"$2,259 ",3%,"$2,050 ",3%,,,
Rentals - TH/Condo,"4,911",4%,"$9,529,947 ",8%,"$1,941 ",4%,"$1,750 ",4%,,,
Rentals - Multifamily,"2,990",36%,"$3,970,979 ",44%,"$1,328 ",6%,"$1,250 ",9%,,,
Rentals - High Rise,708,15%,"$1,614,540 ",7%,"$2,280 ",-7%,"$1,870 ",-4%,,,
New Construction,,,,,,,,,,,
Single Family,"15,718",11%,"$6,539,140,792 ",11%,"$416,029 ",1%,"$349,000 ",-3%,,,
Townhouse/Condominium,364,-10%,"$134,887,683 ",-7%,"$370,571 ",3%,"$330,000 ",3%,,,
Multifamily,135,19%,"$59,519,150 ",26%,"$440,883 ",6%,"$392,500 ",-3%,,,
Country Homes,19,0%,"$14,297,575 ",-18%,"$752,504 ",-18%,"$610,000 ",14%,,,
High Rise,16,-52%,"$19,214,926 ",-59%,"$1,200,933 ",-16%,"$1,199,000 ",20%,,,
Rentals - Single Family,"2,724",3%,"$6,126,926 ",5%,"$2,249 ",1%,"$2,200 ",5%,,,
Rentals - TH/Condo,210,52%,"$488,876 ",52%,"$2,328 ",0%,"$2,300 ",1%,,,
Rentals - Multifamily,220,49%,"$373,943 ",50%,"$1,700 ",1%,"$1,675 ",12%,,,
Rentals - High Rise,24,-56%,"$61,009 ",-66%,"$2,542 ",-23%,"$2,122 ",0%,,,
* Closed listing counts are preliminary until 12 month revision.,,,,,,,,,,,
Produced by: Real Estate Center at Texas A&M University,,,,,,,,3,,,
Data: Houston Association of REALTORS/Data Relevance Project,,,,,,,,,,,
9/6/2023,,,,,,,,,,,
Houston Association of REALTORS,,,,,,,MLS Summary Report,,,,
,,,,,,,,,Aug-23,,
Year-to-Date as of August 2023,,,,,,,,,,,
,Price/,% Change,,% Change,Pending,% Change,New,% Change,Active,%Change,
Property Type,Sqft*,Year Ago,DOM,Year Ago,Listings,Year Ago,Listings,Year Ago,Listings,Year Ago,
All (New and Existing),,,,,,,,,,,
Single Family,$175 ,0%,51,55%,"62,184",-9%,"93,700",-4%,"20,614",41%,
Townhouse/Condominium,$167 ,0%,42,20%,"4,559",-21%,"7,161",-12%,"1,396",23%,
Multifamily,$171 ,-1%,56,8%,541,-11%,"1,288",5%,407,44%,
Country Homes,$397 ,0%,105,8%,"1,932",-14%,"4,280",-1%,"2,654",35%,
High Rise,$310 ,4%,60,-6%,583,-10%,"1,170",-1%,397,9%,
Lots,-,0%,90,3%,"6,178",-13%,"15,084",7%,"8,855",36%,
Rentals - Single Family,$118 ,3%,34,36%,"30,579",14%,"39,262",18%,"5,402",52%,
Rentals - TH/Condo,$132 ,3%,38,19%,"5,193",5%,"7,312",13%,"1,221",38%,
Rentals - Multifamily,$131 ,6%,43,16%,"3,241",36%,"6,351",50%,"1,357",69%,
Rentals - High Rise,$208 ,1%,49,-8%,728,9%,"4,223",-12%,"1,115",29%,
Existing Home,,,,,,,,,,,
Single Family,$173 ,0%,40,60%,"44,830",-18%,"68,868",-10%,"13,210",41%,
Townhouse/Condominium,$164 ,0%,38,15%,"4,143",-23%,"6,443",-14%,"1,150",19%,
Multifamily,$169 ,-2%,58,5%,392,-23%,"1,062",1%,363,45%,
Country Homes,$398 ,0%,105,8%,"1,912",-14%,"4,227",-1%,"2,636",35%,
High Rise,$305 ,6%,58,-8%,550,-10%,"1,004",-1%,308,3%,
Rentals - Single Family,$117 ,3%,33,38%,"27,831",15%,"35,817",19%,"4,744",55%,
Rentals - TH/Condo,$132 ,3%,38,19%,"4,982",4%,"7,009",12%,"1,167",38%,
Rentals - Multifamily,$132 ,7%,42,17%,"3,022",36%,"5,545",50%,"1,156",69%,
Rentals - High Rise,$208 ,3%,48,-8%,702,14%,"3,789",-2%,"1,025",55%,
New Construction,,,,,,,,,,,
Single Family,$180 ,0%,81,27%,"17,354",26%,"24,832",17%,"7,404",41%,
Townhouse/Condominium,$198 ,1%,79,22%,416,10%,718,8%,246,52%,
Multifamily,$178 ,3%,52,41%,149,45%,226,26%,43,39%,
Country Homes,$339 ,3%,87,14%,20,11%,52,68%,18,20%,
High Rise,$460 ,-5%,152,65%,33,-18%,166,-5%,88,40%,
Rentals - Single Family,$123 ,2%,49,48%,"2,748",4%,"3,445",3%,657,31%,
Rentals - TH/Condo,$136 ,2%,39,30%,211,49%,303,42%,54,64%,
Rentals - Multifamily,$130 ,0%,44,0%,219,51%,806,50%,201,76%,
Rentals - High Rise,$220 ,-16%,61,-9%,26,-52%,434,-53%,89,-56%,
* Rental Price/Sqft is shown as price/100 Sqft.,,,,,,,,,,,
Produced by: Real Estate Center at Texas A&M University,,,,,,,,,,4,
Data: Houston Association of REALTORS/Data Relevance Project,,,,,,,,,,,
9/6/2023,,,,,,,,,,,
Houston Association of REALTORS,,,,,,,,MLS Summary Report,,,
,,,,,,,,,,Aug-23,
Closed Listings by Month as of August 2023,,,,,,,,,,,
Single Family: All(New and Existing),,,,,,,,,,,
,,Closed,Average,Median,Price/,New,Active,Pending,,Close to,
Year,Month,Listings*,Price,Price,Sqft,Listings,Listings,Listings,DOM,Orig. List Price,
2021,Jan,"6,025","$325,120 ","$263,000 ",$134 ,"9,500","13,937","8,008",48,97.00%,
2021,Feb,"5,997","$348,988 ","$275,000 ",$140 ,"8,040","12,226","7,524",48,97.50%,
2021,Mar,"9,310","$369,140 ","$290,000 ",$145 ,"11,256","10,983","10,222",46,98.00%,
2021,Apr,"9,370","$371,038 ","$295,000 ",$149 ,"12,347","11,045","10,322",40,99.00%,
2021,May,"9,714","$385,458 ","$302,670 ",$153 ,"12,126","11,078","9,948",35,99.80%,
2021,Jun,"10,650","$393,286 ","$313,500 ",$156 ,"13,929","12,652","9,946",30,100.30%,
2021,Jul,"10,102","$387,999 ","$309,554 ",$156 ,"14,298","15,141","9,514",26,100.20%,
2021,Aug,"9,918","$378,685 ","$308,500 ",$155 ,"12,582","15,492","9,568",27,99.60%,
2021,Sep,"9,235","$371,689 ","$300,000 ",$155 ,"10,995","15,204","8,668",29,98.70%,
2021,Oct,"8,597","$376,612 ","$305,000 ",$157 ,"10,676","14,805","8,697",32,98.20%,
2021,Nov,"8,374","$381,480 ","$310,275 ",$160 ,"9,218","13,636","8,273",35,98.00%,
2021,Dec,"9,468","$390,073 ","$317,827 ",$162 ,"7,559","12,183","6,833",37,98.00%,
2022,Jan,"6,492","$376,359 ","$309,900 ",$160 ,"9,544","11,245","8,421",39,98.20%,
2022,Feb,"7,430","$394,503 ","$325,048 ",$168 ,"9,419","10,474","8,475",42,98.70%,
2022,Mar,"9,681","$409,782 ","$334,900 ",$173 ,"11,605","10,412","9,541",38,99.80%,
2022,Apr,"8,955","$425,273 ","$343,490 ",$177 ,"12,329","11,763","9,248",34,100.60%,
2022,May,"9,641","$438,350 ","$350,900 ",$181 ,"13,219","13,445","9,360",30,100.80%,
2022,Jun,"9,845","$433,176 ","$354,000 ",$180 ,"15,103","17,483","8,240",28,100.10%,
2022,Jul,"8,256","$425,378 ","$348,125 ",$178 ,"14,177","20,995","7,535",27,98.90%,
2022,Aug,"8,301","$409,785 ","$340,000 ",$175 ,"12,204","21,280","7,674",32,97.30%,
2022,Sep,"7,727","$413,338 ","$340,000 ",$174 ,"11,551","22,528","6,596",37,95.90%,
2022,Oct,"6,603","$401,787 ","$330,000 ",$173 ,"10,421","23,222","6,008",43,95.20%,
2022,Nov,"5,863","$400,560 ","$330,000 ",$171 ,"8,773","22,886","5,422",48,93.90%,
2022,Dec,"6,505","$406,704 ","$330,000 ",$171 ,"7,323","21,012","5,000",57,93.30%,
2023,Jan,"4,592","$380,750 ","$314,174 ",$165 ,"9,568","20,163","6,529",60,93.00%,
2023,Feb,"5,776","$384,250 ","$320,000 ",$167 ,"9,345","19,316","6,881",63,93.30%,
2023,Mar,"7,916","$407,016 ","$324,600 ",$172 ,"12,016","19,407","8,341",62,94.40%,
2023,Apr,"7,247","$417,796 ","$330,000 ",$176 ,"11,278","19,052","8,289",56,95.60%,
2023,May,"8,647","$428,342 ","$340,000 ",$178 ,"12,568","19,468","8,386",49,96.30%,
2023,Jun,"8,723","$428,864 ","$343,330 ",$178 ,"13,751","21,578","7,929",45,96.50%,
2023,Jul,"7,518","$426,082 ","$340,000 ",$177 ,"12,719","22,454","7,987",42,96.40%,
2023,Aug,"7,983","$420,124 ","$339,000 ",$178 ,"12,455","23,476","7,842",42,96.00%,
* Closed listing counts for prior 3 months are preliminary.,,,,,,,,,,,
Produced by: Real Estate Center at Texas A&M University,,,,,,,,,,5,
Data: Houston Association of REALTORS/Data Relevance Project,,,,,,,,,,,
9/6/2023,,,,,,,,,,,
Houston Association of REALTORS,,,,,,,,MLS Summary Report,,,
,,,,,,,,,,Aug-23,
Closed Listings by Month as of August 2023,,,,,,,,,,,
Single Family: Existing Home,,,,,,,,,,,
,,Closed,Average,Median,Price/,New,Active,Pending,,Close to,
Year,Month,Listings*,Price,Price,Sqft,Listings,Listings,Listings,DOM,Orig. List Price,
2021,Jan,"4,815","$321,238 ","$255,000 ",$132 ,"7,202","9,088","6,097",43,96.70%,
2021,Feb,"4,671","$348,928 ","$270,000 ",$139 ,"6,148","7,781","5,721",42,97.20%,
2021,Mar,"7,327","$363,397 ","$285,000 ",$143 ,"8,831","7,184","7,889",39,97.80%,
2021,Apr,"7,459","$372,590 ","$290,500 ",$148 ,"10,164","7,725","8,195",33,98.80%,
2021,May,"7,856","$389,681 ","$302,500 ",$152 ,"10,280","7,938","8,341",28,99.60%,
2021,Jun,"8,983","$394,175 ","$310,000 ",$155 ,"11,794","9,165","8,587",24,100.10%,
2021,Jul,"8,686","$387,649 ","$305,000 ",$154 ,"11,994","10,872","8,280",21,100.00%,
2021,Aug,"8,453","$374,881 ","$303,000 ",$153 ,"10,203","10,641","8,115",22,99.30%,
2021,Sep,"7,847","$367,418 ","$295,000 ",$153 ,"8,752","10,264","7,059",24,98.50%,
2021,Oct,"7,209","$373,572 ","$299,000 ",$155 ,"8,445","9,762","7,017",27,98.00%,
2021,Nov,"6,805","$380,746 ","$304,910 ",$158 ,"7,249","8,847","6,573",29,98.00%,
2021,Dec,"7,349","$387,974 ","$309,000 ",$160 ,"5,545","7,544","5,196",30,98.00%,
2022,Jan,"5,154","$372,982 ","$300,000 ",$157 ,"7,266","6,917","6,404",32,98.20%,
2022,Feb,"5,711","$390,413 ","$319,000 ",$166 ,"7,158","6,419","6,412",33,98.70%,
2022,Mar,"7,433","$408,999 ","$324,000 ",$172 ,"9,092","6,593","7,450",29,99.80%,
2022,Apr,"7,137","$428,710 ","$336,000 ",$176 ,"9,862","7,591","7,549",25,100.60%,
2022,May,"7,741","$443,229 ","$350,000 ",$180 ,"10,401","8,509","7,765",22,100.90%,
2022,Jun,"7,817","$436,171 ","$350,000 ",$178 ,"11,974","11,273","6,867",21,100.00%,
2022,Jul,"6,745","$427,384 ","$340,000 ",$176 ,"11,175","13,813","6,147",20,98.80%,
2022,Aug,"6,672","$406,462 ","$330,000 ",$171 ,"9,435","13,960","6,095",24,97.20%,
2022,Sep,"5,958","$408,512 ","$329,000 ",$171 ,"8,719","14,639","5,061",29,95.90%,
2022,Oct,"4,931","$394,334 ","$315,000 ",$169 ,"7,832","15,012","4,417",35,95.40%,
2022,Nov,"4,142","$395,354 ","$310,000 ",$168 ,"6,233","14,522","3,843",37,94.50%,
2022,Dec,"4,207","$399,737 ","$310,000 ",$166 ,"4,905","12,928","3,265",42,94.10%,
2023,Jan,"3,224","$373,634 ","$300,000 ",$161 ,"6,639","12,345","4,370",49,93.80%,
2023,Feb,"3,881","$381,845 ","$306,415 ",$164 ,"6,482","11,856","4,736",53,94.30%,
2023,Mar,"5,511","$403,396 ","$315,000 ",$169 ,"8,903","12,083","5,962",50,95.00%,
2023,Apr,"5,244","$414,654 ","$320,000 ",$174 ,"8,265","12,023","6,027",43,96.30%,
2023,May,"6,365","$430,551 ","$333,000 ",$177 ,"9,325","12,484","6,233",38,96.70%,
2023,Jun,"6,503","$433,712 ","$340,000 ",$177 ,"10,373","14,191","5,845",34,96.70%,
2023,Jul,"5,750","$424,059 ","$335,600 ",$175 ,"9,597","14,958","5,980",32,96.60%,
2023,Aug,"6,207","$418,321 ","$331,500 ",$176 ,"9,284","15,740","5,677",34,96.10%,
* Closed listing counts for prior 3 months are preliminary.,,,,,,,,,,,
Produced by: Real Estate Center at Texas A&M University,,,,,,,,,,6,
Data: Houston Association of REALTORS/Data Relevance Project,,,,,,,,,,,
9/6/2023,,,,,,,,,,,
Houston Association of REALTORS,,,,,,,,MLS Summary Report,,,
,,,,,,,,,,Aug-23,
Closed Listings by Month as of August 2023,,,,,,,,,,,
Single Family: New Construction,,,,,,,,,,,
,,Closed,Average,Median,Price/,New,Active,Pending,,Close to,
Year,Month,Listings*,Price,Price,Sqft,Listings,Listings,Listings,DOM,Orig. List Price,
2021,Jan,"1,210","$340,567 ","$288,903 ",$144 ,"2,298","4,849","1,911",69,98.20%,
2021,Feb,"1,326","$349,200 ","$289,999 ",$145 ,"1,892","4,445","1,803",71,98.50%,
2021,Mar,"1,983","$390,361 ","$301,373 ",$153 ,"2,425","3,799","2,333",71,98.80%,
2021,Apr,"1,911","$364,981 ","$302,079 ",$153 ,"2,183","3,320","2,127",70,99.60%,
2021,May,"1,858","$367,600 ","$302,842 ",$154 ,"1,846","3,140","1,607",64,100.30%,
2021,Jun,"1,667","$388,492 ","$322,213 ",$161 ,"2,135","3,487","1,359",63,101.10%,
2021,Jul,"1,416","$390,146 ","$325,000 ",$163 ,"2,304","4,269","1,234",59,101.40%,
2021,Aug,"1,465","$400,632 ","$325,825 ",$165 ,"2,379","4,851","1,453",55,100.90%,
2021,Sep,"1,388","$395,830 ","$328,160 ",$167 ,"2,243","4,940","1,609",56,100.00%,
2021,Oct,"1,388","$392,400 ","$335,233 ",$168 ,"2,231","5,043","1,680",60,99.30%,
2021,Nov,"1,569","$384,661 ","$331,000 ",$169 ,"1,969","4,789","1,700",60,98.30%,
2021,Dec,"2,119","$397,351 ","$337,785 ",$172 ,"2,014","4,639","1,637",63,98.10%,
2022,Jan,"1,338","$389,366 ","$343,221 ",$169 ,"2,278","4,328","2,017",65,98.20%,
2022,Feb,"1,719","$408,092 ","$351,125 ",$174 ,"2,261","4,055","2,063",70,98.70%,
2022,Mar,"2,248","$412,373 ","$359,590 ",$177 ,"2,513","3,819","2,091",68,99.60%,
2022,Apr,"1,818","$411,779 ","$357,988 ",$181 ,"2,467","4,172","1,699",68,100.60%,
2022,May,"1,900","$418,474 ","$360,000 ",$185 ,"2,818","4,936","1,595",61,100.80%,
2022,Jun,"2,028","$421,634 ","$360,623 ",$185 ,"3,129","6,210","1,373",59,100.40%,
2022,Jul,"1,511","$416,426 ","$363,225 ",$186 ,"3,002","7,182","1,388",55,99.50%,
2022,Aug,"1,629","$423,398 ","$371,864 ",$188 ,"2,769","7,320","1,579",62,97.60%,
2022,Sep,"1,769","$429,593 ","$365,000 ",$187 ,"2,832","7,889","1,535",64,96.00%,
2022,Oct,"1,672","$423,769 ","$365,000 ",$184 ,"2,589","8,210","1,591",67,94.80%,
2022,Nov,"1,721","$413,089 ","$363,890 ",$180 ,"2,540","8,364","1,579",74,92.60%,
2022,Dec,"2,298","$419,459 ","$358,890 ",$178 ,"2,418","8,084","1,735",84,91.90%,
2023,Jan,"1,368","$397,519 ","$339,048 ",$176 ,"2,929","7,818","2,159",85,91.20%,
2023,Feb,"1,895","$389,176 ","$335,990 ",$175 ,"2,863","7,460","2,145",85,91.50%,
2023,Mar,"2,405","$415,312 ","$345,000 ",$179 ,"3,113","7,324","2,379",89,92.80%,
2023,Apr,"2,003","$426,023 ","$352,990 ",$180 ,"3,013","7,029","2,262",88,93.80%,
2023,May,"2,282","$422,180 ","$352,648 ",$182 ,"3,243","6,984","2,153",80,95.10%,
2023,Jun,"2,221","$414,666 ","$349,900 ",$182 ,"3,378","7,387","2,084",78,95.70%,
2023,Jul,"1,768","$432,660 ","$353,300 ",$184 ,"3,122","7,496","2,007",75,95.70%,
2023,Aug,"1,776","$426,427 ","$353,534 ",$184 ,"3,171","7,736","2,165",70,95.90%,
* Closed listing counts for prior 3 months are preliminary.,,,,,,,,,,,
Produced by: Real Estate Center at Texas A&M University,,,,,,,,,,7,
Data: Houston Association of REALTORS/Data Relevance Project,,,,,,,,,,,
9/6/2023,,,,,,,,,,,
Houston Association of REALTORS,,,,,,,,MLS Summary Report,,,
,,,,,,,,,,Aug-23,
Closed Listings by Month as of August 2023,,,,,,,,,,,
Townhouse/Condominium: All(New and Existing),,,,,,,,,,,
,,Closed,Average,Median,Price/,New,Active,Pending,,Close to,
Year,Month,Listings*,Price,Price,Sqft,Listings,Listings,Listings,DOM,Orig. List Price,
2021,Jan,454,"$210,600 ","$175,500 ",$131 ,"1,099","1,826",675,58,94.90%,
2021,Feb,485,"$217,683 ","$177,500 ",$138 ,858,"1,742",586,49,95.60%,
2021,Mar,792,"$241,309 ","$194,750 ",$145 ,"1,157","1,594",869,53,96.70%,
2021,Apr,815,"$246,472 ","$200,000 ",$147 ,"1,171","1,580",863,50,96.50%,
2021,May,829,"$238,042 ","$210,385 ",$146 ,"1,175","1,531",869,39,97.50%,
2021,Jun,888,"$247,794 ","$214,125 ",$152 ,"1,270","1,610",783,38,98.10%,
2021,Jul,836,"$245,627 ","$200,500 ",$151 ,"1,223","1,695",795,36,97.70%,
2021,Aug,804,"$237,223 ","$200,750 ",$151 ,"1,176","1,657",765,32,97.40%,
2021,Sep,729,"$239,764 ","$210,000 ",$151 ,"1,020","1,634",666,37,97.00%,
2021,Oct,680,"$247,058 ","$218,000 ",$150 ,995,"1,538",729,38,96.30%,
2021,Nov,685,"$256,871 ","$210,000 ",$161 ,864,"1,385",685,40,96.20%,
2021,Dec,812,"$258,603 ","$220,000 ",$160 ,675,"1,164",613,38,97.00%,
2022,Jan,561,"$241,019 ","$206,900 ",$156 ,943,"1,100",716,42,96.90%,
2022,Feb,654,"$265,399 ","$225,000 ",$166 ,868,979,763,45,97.90%,
2022,Mar,855,"$255,108 ","$215,000 ",$160 ,"1,112",984,839,40,97.90%,
2022,Apr,814,"$274,545 ","$235,000 ",$169 ,"1,054","1,020",818,34,98.90%,
2022,May,831,"$272,183 ","$230,000 ",$175 ,988,"1,026",735,32,99.50%,
2022,Jun,748,"$259,936 ","$222,500 ",$165 ,"1,097","1,218",628,30,98.80%,
2022,Jul,654,"$258,548 ","$225,000 ",$169 ,"1,092","1,363",651,28,98.20%,
2022,Aug,687,"$254,118 ","$218,000 ",$168 ,"1,003","1,368",625,31,97.30%,
2022,Sep,598,"$257,077 ","$219,500 ",$163 ,863,"1,419",536,33,96.00%,
2022,Oct,542,"$269,446 ","$225,000 ",$165 ,770,"1,431",468,34,96.20%,
2022,Nov,438,"$253,996 ","$220,000 ",$159 ,647,"1,411",397,39,95.10%,
2022,Dec,442,"$242,028 ","$215,000 ",$159 ,509,"1,297",364,45,94.80%,
2023,Jan,354,"$231,322 ","$195,500 ",$153 ,757,"1,299",480,49,94.70%,
